player_id,player_name,username,age,city,country,email,phone,game_title,genre,platform,device,game_mode,rank_tier,subscription_type,account_created_date,last_login_date,account_age_days,hours_per_week,total_hours_played,total_matches_played,total_wins,total_losses,win_rate_%,kd_ratio,avg_score_per_match,session_length_mins,achievements_unlocked,friends_count,total_spend_INR,num_in_app_purchases,purchase_type,payment_method,player_rating,toxicity_reports,guild_member,streams_content,churn_risk
PLR0046001,Sakura Smith,SAKURA_SMITH_FF,31,Toronto,Canada,sakura.smith@yahoo.com,9737059973,,MOBA,Mobile,Android,Duo ,Silver,premium,11/12/17,02-02-2020,N/A,12.0,2112.0,1357,654,703,48.2,5.9,4463.9,174,6,394,686.19,24,in-app purchase,Credit Card,,0,N,0,
PLR0009430,Karan Joshi,karan_joshi999,35,Brisbane,Australia,karan.joshi@yahoo.com,N/A,Genshin Impact,Horror,PC ,ios,Duo ,Gold,N/A,17.05.2022,2023-03-10T00:00:00Z,297,52.0,4680.0,2188,813,1375,37.2,4.0,2616.4,253,138,179,Rs.14563.93,62,na,N/A,2.9,21,yes,1,N/A
PLR0010359,LIAM VERMA,liam_verma_ff,35,MONTREAL,  Canada,liam.verma@gmail.com,9256698603,Among Us,Simulation,PC ,Android,N/A,Master,free,21-02-2016,November 2019,999999,18.2,3003.0,1878,1152,726,61.3,2.5,100.2,68,79,N/A,9975.32,-74,Subscription,none,4.6,-4,No,1,Low
PLR0005030,Yash Joshi,yash_joshixX,,Vancouver,Canada,yash.joshi@gmail.com,9783191999,Valorant,Sports,PC ,ios,squad,Master,Free,02/28/20,01 February 2021,339,27.5,2942.5,1420,534,886,37.6,2.6,534.8,66,56,58,Rs.2867.82,71,FULL GAME,N/A,5.8,24,N,True,n/a
PLR0000231,Sneha Schmidt,sneha_schmidt999,30,Munich,Germany,sneha.schmidt@outlook,9585157174,Call of Duty Mobile,FPS,pc,MacOS,,Gold,N/A,2021/09/26,02/22/22,149,-19.8,1960.2,2205,,1096,50.3,,4273.2,185,129,-195,5311.46,73,Full Game,upi,3.3,9,true,true,Low
N/A,Pooja Mehta,,32,Sydney,Australia,pooja.mehta@gmail.com,96148-80758,Clash of Clans,RPG,Playstation,iOS,Duo ,Diamond,Free ,2018-12-05T00:00:00Z,August 2022,1351,6.6,600.6,433,290,143,67.0,3.1,3549.6,213,-29,366,4977.27,28,Subscription,Gift Card,2.6,16,NO,true,HIGH
PLR0017692,Ish@@n Reddy,ISHAAN_REDDY_NOOB,28,Birmingham,UK,NULL,9024175102,Valorant,Fighting,PC,Android,Duo ,bronze,pro,08/05/21,09.03.2022,216,26.9,3012.8,1259,639,620,50.8,0.6,2552.0,259,28,500,11380.51,56,FULL GAME,Gift Card,2.1,7,1,N,low
PLR0003243,Kavya Mehta,kavya_mehta_ff,30,Ahmedabad,India,kavya.mehta@hotmail.com,9347592404,Pokemon GO,Sports,None,WINDOWS,,SILVER,pro,2019/09/14,2021-07-01T00:00:00Z,-656,4.4,316.8,4973,1169,3804,N/A,4.2,1532.5,105,,NULL,5343.46,49,Season Pass,UPI,2.1,16,Yes,YES,Medium
PLR0025950,Kunal Joshi,kunal_joshi_noob,24,Dubai,UAE,,9090683221,Call of Duty Mobile,Battle Royale,Xbox,Console,,Silver,Premium,08-10-2018,31 March 2021,905,38.9,2800.8,725,621,104,85.7,5.5,2372.9,63,83,199,14318.97,60,in-app purchase,Gift Card,6.1,17,false,1,N/A
PLR0005594,Olivia Tanaka,olivia_tanaka_pro,34,Pune,India,olivia.tanaka@hotmail.com,N/A,8 Ball Pool,Horror,PC ,WINDOWS,Team,N/A,pro,06/21/22,September 2022,87,34.6,5328.4,1720,7,1713,0.4,0.8,760.9,89,17,469,4351.54,28,-,N/A,1.6,22,yes,N,High
PLR0015417,Ryan Malhotra,ryan_malhotra999,unknown,Munich,Germany,ryan.malhotra@yahoo.com,9204890560,Free Fire,Casual,mobile ,WINDOWS,Squad,Grandmaster,free,March 2015,13 December 2019,-1724,2.1,304.5,4627,4447,180,96.1,3.2,4825.5,221,106,373,2333.11,1,Season Pass,UPI,4.9,2,1,True,Low
PLR0026224,Carlos Iyer,carlos_iyer_noob,31,Melbourne,Australia,carlos.iyer@gmail,9548372679,Among Us,Fighting,mobile ,WINDOWS,SQUAD,SILVER,premium,03 January 2019,12/02/21,1064,31.2,3712.8,3126,999999,2617,16.3,5.0,1569.7,124,69,116,9800.35,10,In-App Purchase,Gift Card,2.1,5,true,1,High
PLR0007634,Simran Mehta,simran_mehta_ff,28 yrs,Berlin,GERMANY,simran.mehta@hotmail,9727023083,Genshin Impact,-,PC ,iOS,Duo ,Grandmaster,unknown,August 2015,08 October 2019,1510,27.2,2992.0,4033,1765,2268,43.8,1.6,3064.0,81,999999,999999,5748.93.00,48,Full Game,Net Banking,4.4,6,false,0,Medium
PLR0010024,Hiroshi Malhotra,hiroshi_malhotra,30,Munich,Germany,hiroshi.malhotra@@yahoo.com,9403861,None,Simulation,Xbox,Console,N/A,Grandmaster,Free ,NULL,11/24/22,999999,-20.4,1142.4,841,468,373,55.6,6.2,1611.2,134,96,-118,₹1518.22,80,in-app purchase,Wallet,5.2,4,False,no,
PLR0030141,Zara Silva,zara_silva_gamer,25,Munich,Germany,zara.silva@outlook.com,9531539725,GTA V,Horror,pc,WINDOWS,,platinum,N/A,03 November 2021,2023-12-01T00:00:00Z,758,5.7,399.0,3501,3308,193,94.5,2.4,2580.7,999999,85,136,Rs.6122.92,11,Season Pass,N/A,4.5,5,N,true,Medium
PLR0014180,Pierre Verma,pierre_verma_yt,N/A,Sydney,Australia,pierre.verma@outlook.com,+91-9783083515,BGMI,Simulation,PC ,-,SQUAD,Gold ,Pro,April 2021,14-01-2023,645,9.7,911.8,NULL,950,3251,N/A,3.6,2376.9,200,43,30,4322.39,N/A,Season Pass,Wallet,4.2,3,no,N,NULL
PLR0034617,Lucas Kumar,lucas_kumar999,24,AHMEDABAD,India,lucas.kumar@gmail.com,9245671678,Pokemon GO,Simulation,Mobile,android,SQUAD,Unranked,Free ,24 June 2017,2022/01/25,1676,21.6,2008.8,398,119,279,NULL,5.3,3987.2,999999,105,N/A,1551.97,55,Full Game,wallet,2.3,6,yes,Yes,HIGH
PLR0031309,LUCAS CHOPRA,lucas_chopra999,22,Tokyo,Japan,lucas.chopra@yahoo.com,9766852314,Apex Legends,Sports,Mobile,IOS,Squad,Silver,Elite,2018/08/10,30-04-2021,994,24.6,3542.4,539,452,87,83.9,28.7,4221.6,29,51,474,,20,In-App Purchase,wallet,1.9,21,No,YES,High
PLR0025840,Simran Yamamoto,simran_yamamoto_gamer,24,London,N/A,simran.yamamoto@yahoo.com,XXXXXXXXXX,PUBG PC,Strategy,PC,Windows,Duo,,premium,2018/05/25,22-06-2023,1854,N/A,N/A,2100,840,1260,40.0,4.4,2668.9,159,2,66,14358.18,N/A,Subscription,Net Banking,-1.3,13,1,1,N/A
PLR0032475,James Nair,N/A,34,Sydney,Australia,james.nair@outlook.com,9636117349,Minecraft,Horror,PlayStation,Mac,solo,Gold,Pro,07.04.2019,12-08-2020,493,54.5,1035.5,416,375,41,90.1,12.6,1720.8,N/A,31,206,12237.19,N/A,,Wallet,2.8,17,true,true,low
PLR0027848,Ethan Silva,ethan_silva_bg,13,Delhi,India,ethan.silva@gmail.com,9698949,Clash of Clans,MOBA,Nintendo Switch,WINDOWS,Solo,N/A,Elite,November 2017,12/09/19,741,56.2,3821.6,4376,,3075,29.7,1.9,NULL,999999,N/A,305,8969.07,NULL,Full Game,,2.8,18,YES,1,low
PLR0041627,Anna Singh,anna_singh123,21,Sao Paulo,Brazil,anna.singh@outlook.com,9843189703,GTA V,Horror,MOBILE,WINDOWS,squad,platinum,Free ,07/23/17,March 2019,999999,31.1,3949.7,591,191,999999,32.3,35.9,3545.1,125,2,NULL,2507.36,43,DLC,Debit Card,1.8,15,No,false,N/A
PLR0013667,Ishaan Brown,ishaan_brownxX,unknown,Hamburg,GERMANY,ishaan.brown@outlook.com,9436484300,Free Fire,Horror,PC ,Android,N/A,Gold ,Free,N/A,2022-05-13T00:00:00Z,1792,NULL,3828.0,2560,851,1709,33.2,1.2,379.2,NULL,2,173,₹7757.39,22,-,Wallet,3.9,19,Yes,N,High
PLR0013810,A@r@v N@ir,aarav_nair_gamer,18,Los Angeles,USA,aarav.nairyahoo.com,9755923,Candy Crush,Simulation,PC,WINDOWS,SQUAD,bronze,N/A,N/A,April 2019,N/A,26.0,3328.0,4094,1918,2176,46.8,1.7,4609.2,229,88,135,7277.86,37,Season Pass,CREDIT CARD,2.5,N/A,true,True,low
PLR0023357,Disha Singh,disha_singh,23,Lucknow,India,NULL,9068519679,BGMI,FPS,pc,Android,Solo,Gold,PREMIUM,26-12-2019,2020-08-04T00:00:00Z,222,N/A,1350.0,N/A,2478,1085,69.5,N/A,3292.1,43,131,999999,3173.4,39,N/A,wallet,,11,True,False,Low
PLR0015634,Sneha Brown,sneha_brown_noob,32,New York,USA,sneha.brown@outlook.com,9950128874,Minecraft,Fighting,PC ,iOS,squad,Master,None,04/24/17,01/25/20,1006,-24.7,2074.8,1521,581,940,38.2,7.4,1975.2,291,128,78,2981.89,33,in-app purchase,Gift Card,4.8,21,Yes,0,medium
PLR0009964,Karan Müller,karan_müller_pro,999,Bangalore,India,karan.müller@hotmail.com,9048962912,Dota 2,RPG,Xbox,Windows,Solo,NULL,free,December 2017,20 February 2023,1885,31.0,682.0,4469,4001,,89.5,7.6,1612.8,,132,-476,2780.76,61,dlc,CREDIT CARD,-1.1,29,True,NO,NA
PLR0034774,Lucas Nair,lucas_nair_noob,28,Pune,India,lucas.nair@outlook.com,,FIFA 24,MOBA,pc,Console,Solo,N/A,Pro,2019/07/06,December 2022,1265,99999,6720.0,498,11,487,,4.6,NULL,-189,999999,354,₹4568.15,22,Full Game,Debit Card,3.4,NULL,1,Yes,Medium
PLR0012191,Kunal Yamamoto,kunal_yamamoto_gamer,20,Ahmedabad,India,kunal.yamamotogmail.com,9010276876,CS:GO,Fighting,Unknown,Console,Duo,platinum,Pro,01/09/14,March 2019,1896,21.2,954.0,NULL,,47,77.6,5.9,3239.2,70,-88,472,14490.99,72,in-app purchase,wallet,2.4,19,YES,No,Medium
PLR0001046,karan reddy,karan_reddy_gamer,23,Pune,India,karan.reddy@hotmail.com,9121962423,Apex Legends,Fighting,Playstation,iOS,Duo ,Grandmaster,Premium,11/20/20,26 July 2023,978,99999,347.2,2470,N/A,2458,0.5,0.2,1394.4,290,36,266,4631.82,63,n/a,Debit Card,3.4,-30,yes,0,low
N/A,Eth@n G@rci@,ethan_garcia_noob,26,Bangalore,India,ethan.garcia@gmail.com,+91-9175990753,Ludo King,FPS,MOBILE,ios,squad,NA,N/A,NULL,2020-06-20T00:00:00Z,984,31.9,4497.9,1552,753,N/A,48.5,-19.3,5007.9,166,29,275,541.08,41,In-App Purchase,,3.2,13,yes,YES,HIGH
PLR0027335,Sneha Schmidt,sneha_schmidt,29,New York,USA,sneha.schmidt@outlook.com,99382-71908,Fortnite,Unknown,na,MacOS,Duo,Gold,Free,24-04-2015,2019/01/08,NULL,46.7,8966.4,4974,4936,38,99.2,3.1,1542.5,999999,123,131,8837.05,26,DLC,UPI,,23,no,YES,High
PLR0026289,  Ishaan Johnson  ,  ishaan_johnson_gamer,N/A,Tokyo,Japan,ishaan.johnson@hotmail.com,9224617807,Minecraft,Casual,Nintendo Switch,IOS,Duo,Grandmaster,Free,26.08.2016,29 May 2020,1372,56.1,6507.6,2885,1985,900,68.8,4.0,4258.7,245,101,NULL,9413.99,30,dlc,Gift Card,2.5,19,no,False,low
PLR0009477,Tanvir Silva,tanvir_silvaxX,33,Vancouver,Canada,tanvir.silva@yahoo.com,9961072060,Fortnite,Battle Royale,pc,MacOS,Duo,Diamond,Free ,03.03.2017,August 2021,N/A,49.7,546.7,4698,2701,-1997,57.5,5.5,2603.4,145,99,396,11514.53,53,Full Game,Gift Card,4.4,18,true,N,High
PLR0029118,Noah Shah,NOAH_SHAH_YT,19,Sao Paulo,Brazil,noah.shah@outlook.com,+91-9342644727,none,RPG,Mobile,Android,Squad,Unranked,Elite,08/16/16,23 May 2021,1741,-38.0,4940.0,2281,-1499,782,65.7,1.4,4719.8,NULL,121,30,3231.68,34,Full Game,,3.7,25,0,False,
PLR0020597,Hans Chopra,hans_chopra_noob,28,Lyon,France,hans.chopra@yahoo.com,9382165,Pokemon GO,Simulation,mobile ,Android,Duo,unknown,Pro,2017-07-09T00:00:00Z,12/13/20,1253,57.7,11193.8,1409,1115,N/A,79.1,-19.3,687.8,231,94,252,5397.21,65,in-app purchase,upi,3.6,10,N,True,N/A
PLR0004655,KRITIKA MÜLLER,  kritika_müller999,27,OSAKA,JAPAN,kritika.müller@yahoo.com,+91-9539360581,unknown,RPG,MOBILE,Mac,solo,bronze,Premium,2019-08-31T00:00:00Z,N/A,215,11.0,143.0,N/A,74,3443,2.1,6.6,-8.3,29,51,NULL,7708.22,52,N/A,wallet,4.6,23,0,No,Unknown
PLR0028812,Dev Dubois,,25,Bangalore,N/A,dev.dubois@hotmail.com,9796010779,Valorant,Fighting,PC,IOS,N/A,SILVER,N/A,NULL,01.03.2020,331,9.9,99999,4652,4443,209,95.5,3.2,302.7,54,-141,310,397.25,65,DLC,Net Banking,3.4,4,false,no,-
PLR0009587,Miguel Schmidt,miguel_schmidt_pro,N/A,Berlin,Germany,miguel.schmidtoutlook.com,9646846185,Clash of Clans,na,Playstation,MacOS,N/A,Gold,premium,2017-12-05T00:00:00Z,2021-06-20T00:00:00Z,1293,40.1,320.8,4728,1437,3291,30.4,,1903.6,294,46,54,Rs.10007.69,42,Unknown,CREDIT CARD,4.4,4,true,true,High
PLR0041182,Carlos Yamamoto,carlos_yamamoto,31,London,N/A,carlos.yamamoto@hotmail.com,99173-26692,none,Simulation,PC ,Console,,Gold,Elite,2020-03-29T00:00:00Z,23 June 2022,816,36.4,1419.6,3707,3009,698,81.2,4.8,3623.6,200,34,130,-10282.85,79,DLC,Wallet,3.1,2,N,yes,Low
PLR0015143,Siddharth Dubois,siddharth_dubois123,25,Berln,Germany,siddharth.dubois@gmail.com,9102002194,PUBG PC,Strategy,MOBILE,android,Duo ,Grandmaster,Unknown,08/01/21,12/02/23,853,45.1 hrs,3743.3,-2252,1532,720,68.0,7.5,4719.5,152,34,476,Rs.11698.62,47,Full Game,wallet,2.4,,True,no,N/A
PLR0045487,ETHAN VERMA,NULL,23,Melbourne,Australia,ethan.verma@hotmail.com,96051-94118,-,N/A,PlayStation,Mac,SQUAD,Diamond,PREMIUM,18-09-2020,12-06-2021,267,25.0,1850.0,969,644,N/A,66.5,4.7,452.9,NULL,142,999999,11921.48,34,,Gift Card,6.1,11,true,0,HIGH
PLR0033377,Tanya Joshi,tanya_joshi_pro,35,Vancouver,Canada,tanya.joshi@outlook.com,+91-9195055068,Free Fire,RPG,Nintendo Switch,MacOS,solo,Gold ,premium,27-10-2017,December 2022,1880,-39.5,2567.5,1206,578,628,47.9,-6.7,5009.9,99,N/A,497,6554.33,44,In-App Purchase,UPI,N/A,14,false,yes,Low
PLR0049491,Disha Santos,disha_santos,14,Chennai,,disha.santos@gmail.com,9784264266,NULL,RPG,MOBILE,Mac,squad,Gold ,PREMIUM,2018-03-04T00:00:00Z,14-01-2022,1412,41.3 hrs,5038.6,3537,NULL,3104,,2.7,3146.8,167,72,,13807.42,999999,DLC,Debit Card,N/A,6,No,1,none
PLR0047202,Riya Shah,riya_shahxX,,Sao Paulo,Brazil,riya.shah@outlook.com,9928832385,Fortnite,Fighting,n/a,MacOS,N/A,N/A,Free,16 September 2017,February 2021,1248,45.1,1127.5,2828,N/A,2062,27.1,5.4,4703.6,231,35,193,5640.03,71,dlc,wallet,N/A,28,No,NO,Medium
PLR0017239,Ishaan Brown,ishaan_brown123,33,Manchester,UK,ishaan.brown@gmail.com,9843592335,Dota 2,Battle Royale,Xbox,Windows,N/A,Master,PREMIUM,2018/10/16,04/29/22,1291,37.2 hrs,186.0,1010,-977,33,NULL,21.4,1906.6,42,71,390,14096.91,NULL,Subscription,Gift Card,4.2,N/A,1,true,Medium
PLR0007782,  Siddharth Joshi  ,siddharth_joshi_pro,18,Lyon,France,siddharth.joshi@outlook.com,9752349335,CS:GO,MOBA,PC ,Console,Squad,Unranked,Elite,22.06.2019,07.03.2021,624,40.9,6135.0,2811,2792,19,99.3,1.9,978.2,70,148,209,10817.37,N/A,In-App Purchase,N/A,4.2,2,N,N,
PLR0012910,Kenji Smith,KENJI_SMITH_NOOB,N/A,Sao Paulo,Brazil,kenji.smith@gmail.com,9862732704,Ludo King,Strategy,PC,iOS,Duo,SILVER,N/A,11/02/18,,999999,17.6,211.2,3767,1481,2286,39.3,3.3,168.6,265,92,N/A,3095.91,1,n/a,Debit Card,3.8,5,false,False,na
PLR0001396,Harsh Johnson,harsh_johnson_noob,24,Berlin,Germany,,9272066990,N/A,RPG,Playstation,Console,solo,,Premium,NULL,23-01-2022,581,42.0,-5754.0,4098,-3894,204,95.0,NULL,4598.9,158,4,202,7753.65,N/A,,UPI,2.7,3,false,yes,low
